"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","dram__bytes_read.sum","dram__bytes_write.sum","gpu__time_duration.sum","l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum","l1tex__t_bytes_lookup_hit.sum","l1tex__t_bytes_lookup_miss.sum","lts__t_requests_lookup_hit.sum","lts__t_requests_lookup_miss.sum","lts__t_sectors_lookup_hit.sum","lts__t_sectors_lookup_miss.sum","sm__sass_branch_targets.avg","sm__sass_branch_targets_threads_divergent.sum","smsp__average_warps_issue_stalled_barrier_per_issue_active.pct","smsp__warp_issue_stalled_branch_resolving_per_warp_active.pct","smsp__warp_issue_stalled_lg_throttle_per_warp_active.pct","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct","smsp__warp_issue_stalled_math_pipe_throttle_per_warp_active.pct","smsp__warp_issue_stalled_membar_per_warp_active.pct","smsp__warp_issue_stalled_mio_throttle_per_warp_active.pct","smsp__warp_issue_stalled_no_instruction_per_warp_active.pct","smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct","smsp__warp_issue_stalled_wait_per_warp_active.pct"
"","","","","","","","","","","","Mbyte","Mbyte","us","","Mbyte","Mbyte","request","request","sector","sector","branches","branches","%","%","%","%","%","%","%","%","%","%"
"0","4382","snp_profile","127.0.0.1","<unnamed>::updateNeuronDynamicsKernel(<unnamed>::DeviceNeuronData, <unnamed>::DeviceRuleData)","1","13","(64, 1, 1)","(32, 1, 1)","0","7.5","0.089280","0.000000","7.840000","0","0.008192","0.075776","239.000000","992.000000","1638.000000","2228.000000","3.225000","1.000000","0","0.907404","0.000000","71.951113","0.000000","0","0.000000","2.468158","0.591658","6.010337"
"1","4382","snp_profile","127.0.0.1","<unnamed>::populateExportBufferKernel(<unnamed>::DeviceNeuronData, <unnamed>::DeviceExportSynapseData, int *)","1","13","(64, 1, 1)","(65536, 1, 1)","0","7.5","63.003744","1.328480","268.224000","0","12.004320","67.679264","151248.000000","394607.000000","546108.000000","1574632.000000","3276.800000","0.000000","0","1.544139","0.634401","59.675278","0.197322","0","0.166130","0.619864","2.268608","11.816859"
"2","4382","snp_profile","127.0.0.1","<unnamed>::clearSpikeProductionKernel(<unnamed>::DeviceNeuronData)","1","13","(64, 1, 1)","(32, 1, 1)","0","7.5","0.006112","0.000000","3.936000","0","0.000000","0.018432","161.000000","360.000000","1333.000000","149.000000","0.000000","0.000000","0","0.819987","0.000000","30.435618","0.000000","0","0.000000","7.141256","1.953876","7.687380"
"3","4382","snp_profile","127.0.0.1","<unnamed>::updateNeuronDynamicsKernel(<unnamed>::DeviceNeuronData, <unnamed>::DeviceRuleData)","1","13","(64, 1, 1)","(32, 1, 1)","0","7.5","0.087808","0.000544","7.968000","0","0.008192","0.075776","240.000000","992.000000","1634.000000","2228.000000","3.225000","1.000000","0","0.904263","0.000000","73.676644","0.000000","0","0.000000","2.477042","0.588642","5.989534"
"4","4382","snp_profile","127.0.0.1","<unnamed>::populateExportBufferKernel(<unnamed>::DeviceNeuronData, <unnamed>::DeviceExportSynapseData, int *)","1","13","(64, 1, 1)","(65536, 1, 1)","0","7.5","62.918144","1.363520","267.584000","0","12.004640","67.670752","150772.000000","394926.000000","545444.000000","1574667.000000","3276.800000","0.000000","0","1.538480","0.633375","59.311904","0.195483","0","0.158377","0.618455","2.249883","11.785127"
"5","4382","snp_profile","127.0.0.1","<unnamed>::clearSpikeProductionKernel(<unnamed>::DeviceNeuronData)","1","13","(64, 1, 1)","(32, 1, 1)","0","7.5","0.005856","0.000000","3.936000","0","0.000000","0.018432","352.000000","360.000000","1519.000000","149.000000","0.000000","0.000000","0","0.820355","0.000000","30.290649","0.000000","0","0.000000","7.030699","1.948343","7.690829"
"6","4382","snp_profile","127.0.0.1","<unnamed>::updateNeuronDynamicsKernel(<unnamed>::DeviceNeuronData, <unnamed>::DeviceRuleData)","1","13","(64, 1, 1)","(32, 1, 1)","0","7.5","0.089792","0.000800","7.936000","0","0.008192","0.075776","233.000000","992.000000","1625.000000","2228.000000","3.225000","1.000000","0","0.906977","0.000000","72.519288","0.000000","0","0.000000","2.485446","0.592351","6.007506"
"7","4382","snp_profile","127.0.0.1","<unnamed>::populateExportBufferKernel(<unnamed>::DeviceNeuronData, <unnamed>::DeviceExportSynapseData, int *)","1","13","(64, 1, 1)","(65536, 1, 1)","0","7.5","62.787360","1.332000","267.520000","0","12.001792","67.665408","150282.000000","394386.000000","544445.000000","1574657.000000","3276.800000","0.000000","0","1.539079","0.632098","59.233486","0.194881","0","0.150138","0.617745","2.237024","11.769552"
"8","4382","snp_profile","127.0.0.1","<unnamed>::clearSpikeProductionKernel(<unnamed>::DeviceNeuronData)","1","13","(64, 1, 1)","(32, 1, 1)","0","7.5","0.006048","0.000000","3.968000","0","0.000000","0.018432","124.000000","360.000000","1296.000000","149.000000","0.000000","0.000000","0","0.818257","0.000000","30.157259","0.000000","0","0.000000","7.011123","1.946558","7.671163"
"9","4382","snp_profile","127.0.0.1","<unnamed>::updateNeuronDynamicsKernel(<unnamed>::DeviceNeuronData, <unnamed>::DeviceRuleData)","1","13","(64, 1, 1)","(32, 1, 1)","0","7.5","0.089536","0.000160","7.904000","0","0.008192","0.075776","245.000000","992.000000","1640.000000","2228.000000","3.225000","1.000000","0","0.910988","0.000000","72.646938","0.000000","0","0.000000","2.488637","0.594971","6.034079"
"10","4382","snp_profile","127.0.0.1","<unnamed>::populateExportBufferKernel(<unnamed>::DeviceNeuronData, <unnamed>::DeviceExportSynapseData, int *)","1","13","(64, 1, 1)","(65536, 1, 1)","0","7.5","62.975968","1.341184","268.608000","0","12.001600","67.657408","150939.000000","395063.000000","545212.000000","1574612.000000","3276.800000","0.000000","0","1.534478","0.622113","59.373282","0.193648","0","0.158313","0.616617","2.244092","11.741112"
