"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","dram__bytes_read.sum","dram__bytes_write.sum","gpu__time_duration.sum","l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum","l1tex__t_bytes_lookup_hit.sum","l1tex__t_bytes_lookup_miss.sum","lts__t_requests_lookup_hit.sum","lts__t_requests_lookup_miss.sum","lts__t_sectors_lookup_hit.sum","lts__t_sectors_lookup_miss.sum","sm__sass_branch_targets.avg","sm__sass_branch_targets_threads_divergent.sum","smsp__average_warps_issue_stalled_barrier_per_issue_active.pct","smsp__warp_issue_stalled_branch_resolving_per_warp_active.pct","smsp__warp_issue_stalled_lg_throttle_per_warp_active.pct","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct","smsp__warp_issue_stalled_math_pipe_throttle_per_warp_active.pct","smsp__warp_issue_stalled_membar_per_warp_active.pct","smsp__warp_issue_stalled_mio_throttle_per_warp_active.pct","smsp__warp_issue_stalled_no_instruction_per_warp_active.pct","smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct","smsp__warp_issue_stalled_wait_per_warp_active.pct"
"","","","","","","","","","","","Mbyte","Mbyte","us","","Mbyte","Mbyte","request","request","sector","sector","branches","branches","%","%","%","%","%","%","%","%","%","%"
"0","2767","snp_profile","127.0.0.1","updateNeuronDynamicsKernel(DeviceNeuronData, const int *, const int *, const int *, const int *, const int *, const int *)","1","7","(256, 1, 1)","(24, 1, 1)","0","7.5","33.201504","1.496128","970.272000","0","116.972800","17.407456","408448.000000","134109.000000","281420.000000","529849.000000","6571.250000","1.000000","0","1.116090","0.002264","76.903754","0.023837","0","0.000000","0.785875","0.011909","17.425445"
"1","2767","snp_profile","127.0.0.1","propagateSpikesKernel(const int *, int *, const int *, const int *, const int *, int)","1","7","(256, 1, 1)","(24580, 1, 1)","0","7.5","69.166432","1.369760","345.856000","0","5.954240","75.822368","143672.000000","460466.000000","538519.000000","1837439.000000","0.000000","0.000000","0","0.754819","0.851253","71.139786","0.203728","0","0.013154","0.681294","2.209528","7.681138"
"2","2767","snp_profile","127.0.0.1","updateNeuronDynamicsKernel(DeviceNeuronData, const int *, const int *, const int *, const int *, const int *, const int *)","1","7","(256, 1, 1)","(24, 1, 1)","0","7.5","1.192672","0.070560","10.912000","0","0.049792","0.458112","989.000000","10023.000000","3262.000000","20849.000000","20.850000","1.000000","0","1.272487","0.263429","68.929521","0.020461","0","0.000197","3.335655","0.833766","6.666391"
"3","2767","snp_profile","127.0.0.1","propagateSpikesKernel(const int *, int *, const int *, const int *, const int *, int)","1","7","(256, 1, 1)","(24580, 1, 1)","0","7.5","69.225312","1.347072","345.152000","0","5.957888","75.820768","143533.000000","460532.000000","538190.000000","1836885.000000","0.000000","0.000000","0","0.755703","0.854915","71.008028","0.204374","0","0.014516","0.682131","2.207620","7.685053"
"4","2767","snp_profile","127.0.0.1","updateNeuronDynamicsKernel(DeviceNeuronData, const int *, const int *, const int *, const int *, const int *, const int *)","1","7","(256, 1, 1)","(24, 1, 1)","0","7.5","1.194976","0.050976","10.496000","0","0.124640","0.448800","536.000000","10025.000000","2802.000000","20849.000000","24.050000","1.000000","0","1.271222","0.415662","64.356736","0.016794","0","0.000382","3.302009","0.811857","7.049643"
"5","2767","snp_profile","127.0.0.1","propagateSpikesKernel(const int *, int *, const int *, const int *, const int *, int)","1","7","(256, 1, 1)","(24580, 1, 1)","0","7.5","69.034688","1.394880","345.536000","0","5.951392","75.802720","143943.000000","460541.000000","538415.000000","1836380.000000","0.000000","0.000000","0","0.752295","0.794809","71.243444","0.188323","0","0.016282","0.679779","2.199920","7.654795"
"6","2767","snp_profile","127.0.0.1","updateNeuronDynamicsKernel(DeviceNeuronData, const int *, const int *, const int *, const int *, const int *, const int *)","1","7","(256, 1, 1)","(24, 1, 1)","0","7.5","1.192992","0.050624","11.264000","0","0.204320","0.434656","577.000000","10025.000000","2836.000000","20849.000000","27.250000","1.000000","0","1.292222","0.762466","67.201565","0.020129","0","0.000000","3.218985","0.798397","7.514791"
"7","2767","snp_profile","127.0.0.1","propagateSpikesKernel(const int *, int *, const int *, const int *, const int *, int)","1","7","(256, 1, 1)","(24580, 1, 1)","0","7.5","69.212768","1.355264","345.312000","0","5.945440","75.784128","144181.000000","460554.000000","538756.000000","1835840.000000","0.000000","0.000000","0","0.752975","0.840810","70.756822","0.197875","0","0.013763","0.679796","2.195553","7.643625"
"8","2767","snp_profile","127.0.0.1","updateNeuronDynamicsKernel(DeviceNeuronData, const int *, const int *, const int *, const int *, const int *, const int *)","1","7","(256, 1, 1)","(24, 1, 1)","0","7.5","1.192352","0.066240","12.352000","0","0.270144","0.434368","420.000000","10028.000000","2689.000000","20849.000000","30.450000","1.000000","0","1.288047","0.860397","68.188072","0.017470","0","0.000000","3.120394","0.771409","7.822003"
