"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","dram__bytes_read.sum","dram__bytes_write.sum","gpu__time_duration.sum","l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum","l1tex__t_bytes_lookup_hit.sum","l1tex__t_bytes_lookup_miss.sum","lts__t_requests_lookup_hit.sum","lts__t_requests_lookup_miss.sum","lts__t_sectors_lookup_hit.sum","lts__t_sectors_lookup_miss.sum","sm__sass_branch_targets.avg","sm__sass_branch_targets_threads_divergent.sum","smsp__average_warps_issue_stalled_barrier_per_issue_active.pct","smsp__warp_issue_stalled_branch_resolving_per_warp_active.pct","smsp__warp_issue_stalled_lg_throttle_per_warp_active.pct","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct","smsp__warp_issue_stalled_math_pipe_throttle_per_warp_active.pct","smsp__warp_issue_stalled_membar_per_warp_active.pct","smsp__warp_issue_stalled_mio_throttle_per_warp_active.pct","smsp__warp_issue_stalled_no_instruction_per_warp_active.pct","smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct","smsp__warp_issue_stalled_wait_per_warp_active.pct"
"","","","","","","","","","","","Mbyte","Mbyte","ms","","Mbyte","Mbyte","request","request","sector","sector","branches","branches","%","%","%","%","%","%","%","%","%","%"
"0","3190","snp_profile","127.0.0.1","updateDelaysAndEmitKernel(int, int, int *, int *, int *, const int *, const int *)","1","7","(128, 1, 1)","(48, 1, 1)","0","7.5","0.032416","0.000448","0.003808","0","0.000000","0.024576","124.000000","411.000000","850.000000","867.000000","0.000000","0.000000","0","0.796255","0","34.165210","0.000000","0","0","6.318932","2.223823","6.654625"
"1","3190","snp_profile","127.0.0.1","computeSpikingVectorKernel(int, const int *, const int *, int *, const int *, const int *, const int *)","1","7","(128, 1, 1)","(48, 1, 1)","0","7.5","33.171904","1.506368","0.574880","0","117.448704","16.891904","396655.000000","134070.000000","269115.000000","528646.000000","6555.225000","1.000000","0","1.851144","0","61.503073","0.000070","0","0","1.283148","0.017997","29.572329"
"2","3190","snp_profile","127.0.0.1","consumeSpikesAndProduceKernel(int, int, int *, int *, int *, const int *, const int *, const int *, const int *, const int *, const int *)","1","7","(128, 1, 1)","(48, 1, 1)","0","7.5","49.682048","1.465888","4.421248","0","3.849088","168.117376","4208727.000000","264272.000000","4212473.000000","1051371.000000","6553.600000","0.000000","0","4.355543","0","83.759375","0.000002","0","0","0.341743","0.002450","8.631162"
"3","3190","snp_profile","127.0.0.1","updateDelaysAndEmitKernel(int, int, int *, int *, int *, const int *, const int *)","1","7","(128, 1, 1)","(48, 1, 1)","0","7.5","0.032480","0.000320","0.003872","0","0.000000","0.024576","132.000000","411.000000","860.000000","867.000000","0.000000","0.000000","0","0.805134","0","34.190972","0.000000","0","0","6.446928","2.246178","6.709256"
"4","3190","snp_profile","127.0.0.1","computeSpikingVectorKernel(int, const int *, const int *, int *, const int *, const int *, const int *)","1","7","(128, 1, 1)","(48, 1, 1)","0","7.5","0.371616","0.008864","0.006848","0","0.081920","0.180224","262.000000","3643.000000","2631.000000","7012.000000","6.425000","1.000000","0","0.844245","0","59.859899","0.004891","0","0","3.273726","1.036354","7.316702"
"5","3190","snp_profile","127.0.0.1","consumeSpikesAndProduceKernel(int, int, int *, int *, int *, const int *, const int *, const int *, const int *, const int *, const int *)","1","7","(128, 1, 1)","(48, 1, 1)","0","7.5","75.205536","1.541568","4.421568","0","13.995904","195.424352","4336598.000000","404377.000000","4530113.000000","1594431.000000","9883.175000","0.000000","0","4.666195","0","82.337984","0.000001","0","0","0.364303","0.001735","9.262301"
"6","3190","snp_profile","127.0.0.1","updateDelaysAndEmitKernel(int, int, int *, int *, int *, const int *, const int *)","1","7","(128, 1, 1)","(48, 1, 1)","0","7.5","0.032608","0.000384","0.003840","0","0.000000","0.024576","125.000000","411.000000","855.000000","867.000000","0.000000","0.000000","0","0.797524","0","33.825266","0.000000","0","0","6.555870","2.233184","6.665232"
"7","3190","snp_profile","127.0.0.1","computeSpikingVectorKernel(int, const int *, const int *, int *, const int *, const int *, const int *)","1","7","(128, 1, 1)","(48, 1, 1)","0","7.5","0.371040","0.008256","0.007040","0","0.147456","0.180224","266.000000","3643.000000","2634.000000","7011.000000","9.625000","1.000000","0","0.886268","0","60.539563","0.005344","0","0","3.186504","1.024405","8.022903"
"8","3190","snp_profile","127.0.0.1","consumeSpikesAndProduceKernel(int, int, int *, int *, int *, const int *, const int *, const int *, const int *, const int *, const int *)","1","7","(128, 1, 1)","(48, 1, 1)","0","7.5","75.174656","1.527040","4.453888","0","14.001440","195.353280","4329856.000000","403134.000000","4521439.000000","1593228.000000","9883.175000","0.000000","0","4.572026","0","81.200974","0.000002","0","0","0.357079","0.001707","9.080552"
