Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Category,Operation
46.4,623279199,4100,152019.3,150476.5,2084,3312349,162571.0,CUDA_API,cudaDeviceSynchronize
44.8,601450475,2050,293390.5,293169.0,258465,328674,19784.5,CUDA_KERNEL,"<unnamed>::kDistributeGlobalSpikes(<unnamed>::GlobalSynapseData, <unnamed>::LocalNeuronData, const int *, int, int)"
4.7,63695722,4101,15531.8,16608.0,9891,377480,8012.6,CUDA_API,cudaMemcpy
2.4,32111617,4100,7832.1,7023.5,4212,160243,5344.5,CUDA_API,cudaLaunchKernel
0.7,9369447,2050,4570.5,4576.0,4448,4800,48.6,CUDA_KERNEL,"<unnamed>::kLocalComputeAndProduce(<unnamed>::LocalNeuronData, <unnamed>::LocalRuleData, int *)"
0.6,8216100,2050,4007.9,4000.0,3680,16864,514.0,MEMORY_OPER,[CUDA memcpy Host-to-Device]
0.3,4517398,2051,2202.5,2208.0,2144,2624,48.0,MEMORY_OPER,[CUDA memcpy Device-to-Host]
0.1,897371,4100,218.9,200.0,117,11276,222.0,CUDA_API,cuKernelGetName
0.0,130803,1,130803.0,130803.0,130803,130803,0.0,CUDA_API,cuLibraryLoadData
0.0,12538,1,12538.0,12538.0,12538,12538,0.0,CUDA_API,cuProfilerStart
0.0,1989,2,994.5,994.5,865,1124,183.1,CUDA_API,cuLibraryGetKernel
