Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Category,Operation
30.1,1091409456,4101,266132.5,30742.0,9749,4953219,337046.3,CUDA_API,cudaMemcpy
28.0,1013074196,2050,494182.5,495650.0,10751,990212,279592.5,CUDA_KERNEL,"<unnamed>::kLocalComputeAndProduce(<unnamed>::LocalNeuronData, <unnamed>::LocalRuleData, int *)"
20.6,747152480,4100,182232.3,136365.0,2258,2551418,191157.8,CUDA_API,cudaDeviceSynchronize
20.0,725713598,2050,354006.6,354199.0,258360,447731,54229.6,CUDA_KERNEL,"<unnamed>::kDistributeGlobalSpikes(<unnamed>::GlobalSynapseData, <unnamed>::LocalNeuronData, const int *, int, int)"
0.9,32210294,4100,7856.2,7108.0,4638,184423,5291.8,CUDA_API,cudaLaunchKernel
0.2,8359237,2050,4077.7,4032.0,3392,16607,444.6,MEMORY_OPER,[CUDA memcpy Host-to-Device]
0.1,4558394,2051,2222.5,2208.0,2175,10496,308.7,MEMORY_OPER,[CUDA memcpy Device-to-Host]
0.0,852973,4100,208.0,190.0,122,8882,236.8,CUDA_API,cuKernelGetName
0.0,130894,1,130894.0,130894.0,130894,130894,0.0,CUDA_API,cuLibraryLoadData
0.0,20065,2,10032.5,10032.5,738,19327,13144.4,CUDA_API,cuLibraryGetKernel
0.0,12733,1,12733.0,12733.0,12733,12733,0.0,CUDA_API,cuProfilerStart
