Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Category,Operation
46.3,619911426,4100,151197.9,66530.0,2074,3211934,157840.0,CUDA_API,cudaDeviceSynchronize
45.0,601883762,2050,293601.8,293521.0,258657,328577,19781.7,CUDA_KERNEL,"<unnamed>::kDistributeGlobalSpikes(<unnamed>::GlobalSynapseData, <unnamed>::LocalNeuronData, const int *, int, int)"
4.7,62480172,4101,15235.4,16861.0,9965,135685,4722.2,CUDA_API,cudaMemcpy
2.3,31008006,4100,7562.9,6719.5,4109,2632304,41494.9,CUDA_API,cudaLaunchKernel
0.7,9370881,2050,4571.2,4576.0,4448,4832,48.9,CUDA_KERNEL,"<unnamed>::kLocalComputeAndProduce(<unnamed>::LocalNeuronData, <unnamed>::LocalRuleData, int *)"
0.6,8163151,2050,3982.0,4000.0,3648,10528,306.2,MEMORY_OPER,[CUDA memcpy Host-to-Device]
0.3,4531538,2051,2209.4,2208.0,2176,14080,267.0,MEMORY_OPER,[CUDA memcpy Device-to-Host]
0.1,1058903,4100,258.3,177.0,113,276128,4313.5,CUDA_API,cuKernelGetName
0.0,127952,1,127952.0,127952.0,127952,127952,0.0,CUDA_API,cuLibraryLoadData
0.0,13102,1,13102.0,13102.0,13102,13102,0.0,CUDA_API,cuProfilerStart
0.0,2055,2,1027.5,1027.5,623,1432,572.0,CUDA_API,cuLibraryGetKernel
