Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Category,Operation
50.1,8653389599,2050,4221165.7,4145924.0,575256,8188243,328710.0,CUDA_API,cudaDeviceSynchronize
46.2,7993120345,2050,3899083.1,3799110.0,3520,4778011,309209.6,CUDA_KERNEL,"k_step_compressed(int, int, int *, int *, int *, const int *, const int *, const int *, const int *, const int *, const int *)"
3.4,594260848,2050,289883.3,290040.0,6176,572368,163613.0,CUDA_KERNEL,"k_calc_spiking_vector(int, const int *, const int *, int *, const int *, const int *, const int *)"
0.2,35465490,6150,5766.7,4642.0,3549,1620981,20925.7,CUDA_API,cudaLaunchKernel
0.0,6630881,2050,3234.6,3232.0,3072,3424,35.9,CUDA_KERNEL,"k_update_delays(int, int, int *, int *, int *, const int *, const int *)"
0.0,1042083,6150,169.4,142.0,111,17698,340.6,CUDA_API,cuKernelGetName
0.0,131332,1,131332.0,131332.0,131332,131332,0.0,CUDA_API,cuLibraryLoadData
0.0,58131,1,58131.0,58131.0,58131,58131,0.0,CUDA_API,cudaMemcpy
0.0,12275,1,12275.0,12275.0,12275,12275,0.0,CUDA_API,cuProfilerStart
0.0,3999,1,3999.0,3999.0,3999,3999,0.0,MEMORY_OPER,[CUDA memcpy Device-to-Host]
0.0,1112,3,370.7,380.0,286,446,80.4,CUDA_API,cuLibraryGetKernel
